index,inter_packet_latency_us
1499,1000.203
1500,999.891
1501,999.829
1502,1000.033
1503,1000.185
1504,999.613
1505,1000.182
1506,999.967
1507,1000.207
1508,999.796
1509,1000.164
1510,999.963
1511,999.993
1512,1000.064
1513,999.954
1514,999.852
1515,1000.497
1516,999.575
1517,1000.03
1518,999.905
1519,1000.164
1520,1000.006
1521,999.961
1522,1000.195
1523,1000.864
1524,999.015
1525,999.958
1526,999.995
1527,1000.058
1528,999.93
1529,1000.06
1530,999.819
1531,1000.144
1532,1000.016
1533,1000.002
1534,999.938
1535,1002.663
1536,1000.354
1537,997.041
1538,1000.102
1539,1000.356
1540,1000.079
1541,999.407
1542,1000.114
1543,999.83
1544,999.93
1545,1000.144
1546,1000.023
1547,1000.216
1548,999.734
1549,1000.009
1550,1000.136
1551,1000.432
1552,999.45
1553,1000.03
1554,999.748
1555,1004.246
1556,996.95
1557,999.1
1558,999.999
1559,1000.059
1560,999.771
1561,999.921
1562,999.886
1563,1000.48
1564,999.635
1565,1000.108
1566,1000.073
1567,999.889
1568,1000.25
1569,999.671
1570,999.889
1571,1000.411
1572,999.831
1573,1000.199
1574,999.596
1575,1000.217
1576,1000.301
1577,999.503
1578,1000.08
1579,1000.324
1580,999.598
1581,1000.238
1582,999.924
1583,999.926
1584,999.932
1585,1000.106
1586,1000.004
1587,1000.233
1588,999.717
1589,1000.218
1590,999.82
1591,1000.076
1592,999.792
1593,1000.091
1594,999.843
1595,1000.496
1596,999.638
1597,1000.109
1598,999.919
1599,1000.055
1600,1000.096
1601,1000.098
1602,999.777
1603,1000.232
1604,999.63
1605,1000.247
1606,999.939
1607,999.917
1608,1000.15
1609,999.892
1610,999.943
1611,1000.34
1612,999.698
1613,1000.113
1614,999.74
1615,1000.173
1616,1000.025
1617,999.973
1618,999.827
1619,1000.465
1620,999.877
1621,1000.053
1622,999.805
1623,1000.331
1624,999.542
1625,1000.086
1626,999.987
1627,1000.174
1628,1000.183
1629,999.604
1630,1000.091
1631,1000.47
1632,999.457
1633,1000.087
1634,999.863
1635,1000.281
1636,999.689
1637,1000.078
1638,1000.058
1639,999.884
1640,1000.163
1641,999.882
1642,999.931
1643,1000.346
1644,999.584
1645,1000.195
1646,1000.014
1647,999.899
1648,1000.715
1649,999.333
1650,1000.093
1651,1000.124
1652,999.774
1653,999.932
1654,999.96
1655,1000.234
1656,999.873
1657,1000.692
1658,999.291
1659,1000.17
1660,1000.019
1661,999.839
1662,999.994
1663,999.989
1664,1000.026
1665,999.942
1666,999.999
1667,1000.252
1668,1000.212
1669,999.618
1670,999.932
1671,1000.199
1672,999.755
